code,name,postalCode,address,tel,fax,email,contactPerson,industry,notes
ｱ101,安芸電機㈱,737-0112,呉市広古新開5丁目5-2,0823-74-5151,0823-74-5153,,,,
ｱ102,株式会社ｱｲ･ｴｲﾁ･ｱｲ･ｱﾑﾃｯｸ,678-0041,兵庫県相生市相生5292,,,,,,
ｱ103,株式会社ｱｲﾒｯｸｽ,722-2323,広島県因島市土生町2293-1,,,,,,
ｱ104,株式会社 ｱｲ･ｴｲﾁ･ｱｲ･ﾏﾘﾝ,108-0022,東京都港区海岸3-22-23 MSCｾﾝﾀｰﾋﾞﾙ,03-3454-4790,03-3454-4810,,,,
ｱ106,株式会社ｱｲ･ｴﾑ･ｱｲ,100-0005,東京都千代田区丸ﾉ内1-6-2,03-3286-2371,03-3286-2373,,,,
ｱ111,株式会社 ｱｲ･ｲ-･ｴﾑ,135-0061,東京都江東区豊洲2丁目1番1号,03-3534-3841,03-3534-3891,,,,
ｱ112,ｱｷﾃﾚｺﾑ有限会社,737-0823,広島県呉市海岸3丁目17-23,0823-24-8851,,,,,
ｱ113,ISS ﾏｼﾅﾘｰｻｰﾋﾞｽ,541-0041,大阪府大阪市中央区北浜二丁目6番18号,06-6203-5156,06-6203-5195,,,,
ｱ114,旭機装株式会社,230-0051,神奈川県横浜市鶴見区鶴見中央3-4-36,045-510-2677,045-510-2670,,,,
ｱ115,株式会社 ｱｲ･ｲｰ･ｴﾑ  ｴﾝｼﾞﾆｱﾘﾝｸﾞ部,108-0022,東京都港区海岸3-22-23 MSCｾﾝﾀｰﾋﾞﾙ6階,03-3454-5149,03-3454-5141,,,,
ｱ116,麻生ｾﾝﾄﾗﾙ株式会社,102-0071,東京都千代田区富士見2丁目2-10,03-5275-1645,03-3263-4073,,,,
ｱ117,株式会社 IHIｴｽｷｭｰﾌﾞ,190-0011,東京都立川市高松町1-100,042-523-8315,042-523-8320,,,,
ｱ118,飛鳥ﾏﾘﾝ有限会社,651-0084,神戸市中央区磯辺通4丁目2-8,078-222-8850,078-222-8851,,,,
ｱ119,旭電機商事株式会社,737-0902,呉市焼山此原町20-1,0823-33-1888,0823-33-0225,,,,
ｱ120,株式会社,737-8515,呉市光町5番17号,0823-26-1228,0823-26-1464,,,,
ｱ121,荒木製作所,733-0802,広島市西区三滝本町1-37-7,082-238-5950,,,,,
ｱ122,ｱｻﾋ 鉄工所,737-2904,呉市川尻町森4丁目15-8,0823-87-3214,0823-87-3214,,,,
ｱ123,株式会社,732-0033,広島市東区温品1丁目1-26,082-280-3552,082-280-3561,,,,
ｱ124,有限会社,257-0015,神奈川県秦野市平沢320-6,0463-82-4545,0463-85-6013,,,,
ｱ125,株式会社,652-0863,兵庫県神戸市兵庫区和田宮通3-2-33,078-652-2881,078-652-2851,,,,
ｱ126,株式会社,108-0023,東京都港区芝浦4丁目13-23,03-6722-6893,03-3453-2061,,,,
ｱ127,株式会社 あすなろ,737-0103,広島県呉市広塩焼二丁目１‐５１,0823-71-3113,0823-71-3114,,,,
ｱ128,株式会社アマダ,259-1116,神奈川県伊勢原市石田２００,,,,,,インボイス番号: Ｔ7021001020895
ｱ129,株式会社 相浦機械,858-0908,長崎県佐世保市光町177-2,0956-47-3114,,,,,インボイス番号: T2310001007548
ｱ130,株式会社アップメディカル,858-0908,広島県福山市松永町4-2-14,084-925-6000,,,,,
ｲ100,石川島播磨重工業（株）,100-0005,東京都千代田区丸ﾉ内1丁目6-2,03-3286-2338,03-3286-2373,,,,
ｲ101,株式会社 ｱｲ･ｴｲﾁ･ｱｲ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ,737-0027,呉市昭和町2丁目1番,0823-26-2324,0823-21-8311,,,,
ｲ102,株式会社 ＩＨＩ,478-0046,愛知県知多市北浜町11-1,0562-31-8133,0562-31-8089,,,,
ｲ103,株式会社 ｱｲ･ｴｲﾁ･ｱｲ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ,108-0022,東京都港区海岸3丁目22番23号,03-3454-7165,03-3454-7115,,,,
ｲ104,株式会社今村造船所,737-0152,株式会社今村造船所,0823-79-1234,0823-79-5144,,,,
ｲ105,出光ﾀﾝｶｰ株式会社,169-0072,東京都新宿区大久保2丁目3－4 出光新宿ﾋﾞﾙ,03-5286-0619,03-5286-0625,,,,
ｲ106,株式会社 ｱｲ･ｴｲﾁ･ｱｲ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ,235-8501,神奈川県横浜市磯子区新中原町1,045-759-2955,045-759-2958,,,,
ｲ107,株式会社 ｲｸｽ･ｼﾞｰﾝ,733-0036,広島県広島市西区観音新町2-4-25,082-293-0225,082-293-0226,,,,
ｲ108,株式会社 市林鐵工所,737-1300,株式会社 市林鐵工所,0823-53-1122,0823-53-1123,,,,
ｲ109,岩国松山高速株式会社,,,,,,,,
ｲ110,ｲｲﾉｶﾞｽﾄﾗﾝｽﾎﾟｰﾄ株式会社,650-0031,兵庫県神戸市中央区東町123番地1,078-321-8611,078-331-7911,,,,
ｲ111,稲益造船株式会社,808-0074,北九州市若松区藤ノ木3丁目2-2,093-791-1525,093-791-1527,,,,
ｲ112,伊吹工業株式会社,101-0041,東京都千代田区神田須田町1-22,03-3251-4153,03-3251-4158,,,,インボイス番号: T8120001000129
ｲ113,石川電装株式会社,988-0021,宮城県気仙沼市港町506番11号,0226-22-5430,0226-23-1212,,,,
ｲ114,出光タンカー株式会社,101-0051,東京都千代田区神田神保町1丁目105番地,03-6860-5309,03-3219-7101,,,,
ｲ115,株式会社伊予マーク,731-0112,広島県広島市安佐南区東原1-16-3,082-850-0456,082-850-0369,,,,インボイス番号: T1500001000484
ｲ116,イタキシートメタル株式会社,739-2732,広島県東広島市黒瀬町津江920-1,0823-27-8168,0823-69-2007,,,,
ｳ101,BEMAC株式会社,799-2294,愛媛県今治市大西町九王甲1520,0898-53-6111,0898-53-2266,,,,インボイス番号: T1500001011226
ｳ102,有限会社,737-1207,呉市音戸町波多見1丁目1-49,0823-52-2727,0823-52-2728,,,,
ｳ103,宇根,,,,,,,,
ｳ104,臼井海運株式会社,985-0016,宮城県塩釜市港町2丁目15-18,022-365-5151,022-365-5154,,,,
ｳ105,渦潮電機株式会社,799-2294,愛媛県今治市大西町九王甲1520,0898-53-6111,0898-53-2019,,,,
ｳ106,BEMAC株式会社,799-2294,今治市大西町九王甲1520,0898-53-6111,0898-53-2019,,,,インボイス番号: T1500001011226
ｳ107,潮冷熱株式会社,794-0069,愛媛県今治市クリエイティブヒルズ5-3,0898-34-1205,0898-34-1206,,,,
ｴ101,浴田電気保安管理事務所,742-0021,山口県柳井市大字柳井6820-3,0820-22-9651,,,,,
ｴ102,ｴﾝﾄﾞﾚｽﾊｳｻﾞｰｼﾞｬﾊﾟﾝ株式会社,180-0006,東京都武蔵野市中町3-4-22,0422-55-0613,0422-55-0275,,,,
ｴ103,株式会社,649-1112,和歌山県日高郡由良町網代193-13,0738-65-1113,0738-65-2054,,,,
ｴ104,有限会社,739-2503,東広島市黒瀬町南方1168-1,0823-82-7115,0823-82-7135,,,,
ｴ105,ｴﾑｲｰｼｰｴﾝｼﾞﾆｱﾘﾝｸﾞｻｰﾋﾞｽ株式会社,730-8641,広島市中区江波沖町5-1,082-292-3251,082-295-0123,,,,
ｴ106,MSI Ship Management Pte Ltd,,,,,,,,
ｴ107,有限会社ｴｳﾞｧﾗｲﾝ,737-0107,広島県呉市広弁天橋町3-25,0823-71-3599,0823-71-8814,,,,
ｴ108,ｴﾑ･ｴﾑ･ｴｽ株式会社,153-0051,東京都目黒区上目黒1-18-12,03-3792-9811,,,,,
ｴ109,MR A.E.Nomicos,,,,,,,,
ｴ110,ｴｲｼｧﾝﾏﾘﾝﾄﾚｰﾃﾞｨﾝｸﾞ株式会社,101-0024,東京都千代田区神田和泉町1丁目9番3号,03-5821-8660,03-5821-8661,,,,
ｴ111,NSﾕﾅｲﾃｯﾄﾞ海運株式会社,100-8108,東京都千代田区大手町1丁目5番1号,03-6895-6702,03-6895-6736,,,,
ｴ112,有限会社,731-0102,広島県広島市安佐南区川内3丁目18番9号,082-879-7215,082-879-7882,,,,
ｴ113,株式会社 ｴｽﾜｲ,737-0921,広島県呉市苗代町126番地の30,0823-69-8686,0823-69-8686,,,,
ｴ114,有限会社 ＭＳＣ,653-0037,兵庫県神戸市長田区大橋町4-4-17-506,078-642-4616,078-643-1844,,,,
ｴ115,EIZO株式会社,140-0013,東京都品川区南大井6-22-7,03-5764-3400,03-5764-3420,,,,
ｴ116,TDC SHIPPING S.A.,105-8688,東京都港区虎ノ門2丁目1-1,,,,,,
ｴ117,株式会社 ｴﾇﾜｲ,105-0023,東京都港区芝浦1-13-10,03-6809-4540,,,,,
ｴ118,ｴﾑ･ｵｰ･ｴﾙ･ｼｯﾌﾟﾏﾈｰｼﾞﾒﾝﾄ株式会社,105-8688,東京都港区虎ノ門2丁目1-1,,,,,,
ｴ119,S.S.I.株式会社,799-2109,愛媛県今治市波方町養老甲526番地,0898-41-5833,0898-41-7305,,,,インボイス番号: T6500001013143
ｴ120,Ｌ．Ｓ．Ｔ．株式会社,738-0512,広島県広島市佐伯区湯来町白砂1215-4,0829-78-2236,0829-78-1346,,,,
ｵ102,有限会社,737-0123,呉市広両谷2丁目7-30,0823-73-0151,0823-73-0151,,,,
ｵ105,大阪電機工業株式会社,540-0005,大阪市中央区上町1丁目11-15,06-6762-2818,06-6762-2852,,,,インボイス番号: T8120001025921
ｵ106,大三島ﾌｪﾘー株式会社,794-1300,愛媛県越智郡上浦町井口6762,0897-87-2168,,,,,インボイス番号: T4240001027824
ｵ107,大成電業社,725-0300,広島県豊田郡大崎町,0846-64-2108,,,,,インボイス番号: T4240001027824
ｵ108,ｵﾘｴﾝﾄ ﾏﾘﾝ,750-0087,山口県下関市彦島福浦町1-5-2,0832-66-6965,0832-66-7965,,,,
ｵ109,大分ﾎｰﾊﾞｰﾌｪﾘｰ株式会社,870-0901,大分県大分市西新地1-14-1,097-552-6701,097-556-6247,,,,インボイス番号: T4240001027824
ｵ110,沖縄県知事 稲嶺 惠一 殿,900-8570,沖縄県知事 稲嶺 惠一 殿,090-3023-4470,,,,,
ｵ111,株式会社ｵｰﾐｴﾝｼﾞﾆﾔﾘﾝｸﾞ,650-0046,神戸市中央区港島中町5丁目1-1,078-302-0888,078-302-8583,,,,
ｵ112,新沖縄精器株式会社,903-0804,沖縄県那覇市首里石嶺町3丁目62,098-886-8062,098-886-8067,,,,
ｵ113,株式会社,552-0013,大阪市港区福崎町3-1-201,16-6577-2605,,,,,
ｵ114,有限会社,737-0112,呉市広古新開3丁目3-8,0823-73-6051,0823-72-0131,,,,
ｵ115,興永鋼材株式会社,734-0013,広島市南区出島1丁目34-61,082-255-9550,082-255-9553,,,,
ｵ116,ｵｰｼｬﾝﾏﾘﾀｲﾑ ｱﾝﾄﾞ ﾄﾚｰﾃﾞｨﾝｸﾞ株式会社,104-0045,東京都中央区築地二丁目七番十二号,03-3545-2071,03-3545-2073,,,,
ｶ101,紙村電業,737-0143,紙村電業,0823-72-2217,,,,,
ｶ102,神原造船株式会社,722-0062,尾道市向東町14754-3,0848-44-2013,0848-44-0518,,,,
ｶ103,神田造船所,737-0832,呉市若葉町1-16,0823-21-1571,0823-21-1575,,,,
ｶ104,ｶﾜｷ計測工業株式会社,651-2128,兵庫県神戸市西区玉津町今津176-1,078-911-1991,078-913-1543,,,,
ｶ105,上川,739-0269,東広島市志和町志和堀3071-2,0824-33-2063,,,,,
ｶ106,株式会社 ｶﾜｹﾝDMC,737-0112,呉市広古新開2丁目7-8,0823-74-9718,,,,,
